DrugBankID,DiseaseID
DB00783,D010003
DB00783,D020370
DB00783,D010024
DB00783,D012516
DB00783,D010051
DB00783,D010182
DB00783,D010190
DB00783,D050500
DB00783,D010300
DB00783,D020371
DB00783,D010518
DB00783,D010534
DB00783,D010911
DB00783,D010922
DB00783,D058226
DB00783,D011014
DB00783,D011085
DB00783,D011230
DB00783,D054198
DB00783,D011225
DB00783,D011470
DB00783,D011471
DB00783,D064129
DB00783,D000081029
DB00783,D029424
DB00783,D011655
DB00783,D011658
DB00783,D011832
DB00783,D015427
DB00783,D012128
DB00783,D012164
DB00783,D012173
DB00783,D012175
DB00783,D012509
DB00783,D012559
DB00783,D012595
DB00783,D018239
DB00783,D018805
DB00783,D012859
DB00783,D013119
DB00783,D000077195
DB00783,D013272
DB00783,D013274
DB00783,D000072660
DB00783,D013921
DB00783,D000077273
DB00783,D013964
DB00783,D013981
DB00783,D014029
